"Name","Type","Threshold","Amount"
"string","int","int","int"
"0_0",0,0,5
"0_1",0,1000,7
"0_2",0,2000,10
"0_3",0,3000,12
"0_4",0,4000,15
"0_5",0,5000,17
"0_6",0,6000,20
"0_7",0,7000,23
"0_8",0,8000,25
"0_9",0,9000,27
"0_10",0,10000,35
"0_11",0,11000,40
"0_12",0,12000,45
"0_13",0,13000,50
"0_14",0,14000,55
"0_15",0,15000,60
"0_16",0,16000,65
"0_17",0,17000,70
"0_18",0,18000,75
"0_19",0,19000,80
"0_20",0,20000,85
"0_21",0,21500,90
"0_22",0,23000,95
"0_23",0,25000,100
"0_24",0,26500,100
"0_25",0,28000,100
"0_26",0,29500,100
"0_27",0,31000,100
"0_28",0,32500,100
"0_29",0,35000,100
"0_30",0,37500,100
"1_0",1,1,5
"1_1",1,2,6
"1_2",1,3,8
"1_3",1,4,10
"1_4",1,5,13
"1_5",1,6,18
"1_6",1,7,22
"1_7",1,8,26
"1_8",1,9,30
"1_9",1,10,35
"1_10",1,11,40
"1_11",1,12,45
"1_12",1,13,60
"1_13",1,14,65
"1_14",1,15,70
"1_15",1,16,80
"1_16",1,17,85
"1_17",1,18,90
"1_18",1,19,100
