"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BEST_VALUE_DISCOUNT","<VALUE>%\nOFF!","خصم\n\n<VALUE>%!","优惠\n<VALUE>%","優惠\n<VALUE>%","<VALUE>%\nRABATT!","\n-<VALUE>%","<VALUE>%\nPOIS!","\n-<VALUE>%","הנחה של\n%<VALUE>!","DISKON\n<VALUE>%!","\n-<VALUE>%","<VALUE>％\nオフ！","<VALUE>%\n할인","JUALAN\n<VALUE>%!","<VALUE>%\nKORTING!","<VALUE>%\nTANIEJ!","DESCONTO\nDE <VALUE>%!","СКИДКА\n<VALUE> %","ลด\n<VALUE>%!","%<VALUE>\nİNDİRİM!","GIẢM GIÁ\n<VALUE>%!"
"TID_LIGHTYEAR_FLIGHT_WEAPON","GALACTIC BLAST","الشعاع الكوني","爆裂能量","銀河爆炸","GALAKTISCHER SCHUSS","TIRO GALÁCTICO","GALAKTINEN PLÄJÄYS","ÉTOILES D'ÉNERGIE","פיצוץ גלקטי","LEDAKAN GALAKTIK","RAGGIO GALATTICO","ギャラクティックブラスト","갤럭시 블라스트","TEMBAKAN GALAKSI","GALACTISCH SCHOT","GALAKTYCZNY WYBUCH","RAJADA GALÁCTICA","ГАЛАКТИЧЕСКИЙ ЗАЛП","ระเบิดกาแลคติค","GALAKTİK IŞINLAR","VỤ NỔ THIÊN HÀ"
"TID_MEEPLE_ULTI","CRITICAL SUCCESS","النجاح الحرج","大成功","大成功","KRITISCHER ERFOLG","ÉXITO CRÍTICO","KRIITTINEN OSUMA","RÉUSSITE CRITIQUE","הצלחה קריטית","SERANGAN KRITIKAL","SUCCESSO CRITICO","ゲームマスター","성공의 비결","KEJAYAAN KRITIKAL","WAT EEN ROL","KRYTYCZNY SUKCES","SUCESSO CRÍTICO","КРИТИЧЕСКИЙ УСПЕХ","ปิดเกมสำเร็จ","KRİTİK BAŞARI","THÀNH CÔNG MỸ MÃN"
"TID_TEMP_BRAWLER_AVAILABILITY","ACTIVE UNTIL FEB 4th","متاح حتى 4 فبراير","2月4日前可用","2月4日前可用","AKTIV BIS 4.FEB.","ACTIVO HASTA EL 4DE FEBRERO","AKTIIVISENA 4. HELMIKUUTA ASTI","ACTIF JUSQU'AU 4FÉVRIER","פעיל עד ה-4 בפברואר","AKTIF HINGGA 4 FEBRUARI","ATTIVO FINO AL 4 FEBBRAIO","2月4日まで使用可能","2월 4일까지 활성화","AKTIF SEHINGGA 4 FEB","ACTIEF TOT 4 FEBRUARI","AKTYWNE DO 4 LUTEGO","ATIVO ATÉ 4 DE FEVEREIRO","БОЕЦ ДОСТУПЕН ДО 4 ФЕВРАЛЯ","มีให้ใช้งานได้ถึง 4 กุมภาพันธ์","4 ŞUBAT'A KADAR AKTİF","HOẠT ĐỘNG CHO ĐẾN NGÀY 04/02"
"TID_CLUB_PIGGY_PICK_TURN","<cffffff>TIME TO PICK</c>","<cffffff>حان وقت الاختيار</c>","<cffffff>选择英雄</c>","<cffffff>選擇英雄</c>","<cffffff>ZEIT ZUM AUSWÄHLEN</c>","<cffffff>TE TOCA ELEGIR</c>","<cffffff>AIKA VALITA</c>","<cffffff>IL EST TEMPS DE CHOISIR</c>","<cffffff>זה הזמן לבחור</c>","<cffffff>SAATNYA MEMILIH</c>","<cffffff>È ORA DI SCEGLIERE!</c>","<cffffff>選択してください</c>","<cffffff>선택하세요</c>","<cffffff>MASA UNTUK MEMILIH</c>","<cffffff>TIJD OM TE KIEZEN</c>","<cffffff>CZAS WYBRAĆ</c>","<cffffff>HORA DE ESCOLHER!</c>","<cffffff>ПОРА ВЫБИРАТЬ</c>","<cffffff>เวลาในการเลือก</c>","<cffffff>SEÇME ZAMANI</c>","<cffffff>ĐÃ ĐẾN LÚC CHỌN</c>"
"TID_MATCHMAKE_FAILED_100","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Battle start failed: servers are full or not available. Try again later.","Начать бой не удалось: сервера заполнены или недоступны. Попробуйте позже.","Battle start failed: servers are full or not available. Try again later.","Savaş başlatılamadı: sunucular ağır yüklü ya da mevcut değil. Daha sonra tekrar dene.","Battle start failed: servers are full or not available. Try again later."
"TID_MATCHMAKE_FAILED_101","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Подбор противников не удался: данное событие доступно только на платформе Android :(","Matchmaking failed: this event is available on Android devices only. Sorry for that.","Eşleştirme başlatılamadı: bu etkinlik sadece Android cihazlar ile çalışır. Kusura bakma!","Matchmaking failed: this event is available on Android devices only. Sorry for that."
"TID_SELECT_PLAYER_NAME_COLOR_FAIL_2","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Not available at the moment.","Недоступно на данный момент.","Not available at the moment.","Şu anlık mevcut değil.","Not available at the moment."
"TID_GAME_MODE_19","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","ЗАЩИТА КОРОЛЯ","PROTECT KING","KRALI KORU","PROTECT KING"
